certopensystemstorea,cryptacquirecontexta,cryptacquirecontextw,cryptcreatehash,cryptdecrypt,cryptencrypt,cryptexportkey,cryptgenkey,crypthashdata,cryptdecodeobjectex,cryptprotectdata,cryptprotectmemory,cryptunprotectdata,cryptunprotectmemory,setunhandledexceptionfilter,rtladdvectoredcontinuehandler,rtladdvectoredexceptionhandler,copyfilea,copyfileexw,copyfilew,createdirectoryexw,createdirectoryw,deletefilew,deviceiocontrol,findfirstfileexa,findfirstfileexw,getfileattributesexw,getfileattributesw,getfileinformationbyhandle,getfileinformationbyhandleex,getfilesize,getfilesizeex,getfiletype,getshortpathnamew,getsystemdirectorya,getsystemdirectoryw,getsystemwindowsdirectorya,getsystemwindowsdirectoryw,gettemppathw,getvolumenameforvolumemountpointw,getvolumepathnamew,getvolumepathnamesforvolumenamew,movefilewithprogressw,removedirectorya,removedirectoryw,searchpathw,setendoffile,setfileattributesw,setfileinformationbyhandle,setfilepointer,setfilepointerex,ntcreatefile,ntdeletefile,ntdeviceiocontrolfile,ntopendirectoryobject,ntopenfile,ntqueryattributesfile,ntquerydirectoryfile,ntqueryinformationfile,ntreadfile,ntsetinformationfile,ntwritefile,getusernamea,getusernamew,lookupaccountsidw,getcomputernamea,getcomputernamew,getdiskfreespaceexw,getdiskfreespacew,gettimezoneinformation,writeconsolea,writeconsolew,coinitializesecurity,uuidcreate,getusernameexa,getusernameexw,readcabinetstate,shgetfolderpathw,shgetspecialfolderlocation,enumwindows,getcursorpos,getsystemmetrics,netgetjoininformation,netusergetinfo,netusergetlocalgroups,netshareenum,dnsquery_a,getadaptersaddresses,getadaptersinfo,getbestinterfaceex,obtainuseragentstring,urldownloadtofilew,deleteurlcacheentrya,deleteurlcacheentryw,httpopenrequesta,httpopenrequestw,httpqueryinfoa,httpsendrequesta,httpsendrequestw,internetclosehandle,internetconnecta,internetconnectw,internetcrackurla,internetcrackurlw,internetgetconnectedstate,internetgetconnectedstateexa,internetopena,internetopenurla,internetopenurlw,internetopenw,internetqueryoptiona,internetreadfile,internetsetoptiona,internetsetstatuscallback,getaddrinfow,wsarecv,wsasend,wsasocketa,wsasocketw,wsastartup,accept,bind,closesocket,connect,getaddrinfo,gethostbyname,getsockname,ioctlsocket,listen,recv,recvfrom,select,send,sendto,setsockopt,shutdown,socket,cocreateinstance,coinitializeex,oleinitialize,createprocessinternalw,createremotethread,createthread,createtoolhelp32snapshot,module32firstw,module32nextw,process32firstw,process32nextw,readprocessmemory,thread32first,thread32next,writeprocessmemory,ntallocatevirtualmemory,ntcreatesection,ntcreatethreadex,ntfreevirtualmemory,ntgetcontextthread,ntmapviewofsection,ntopenprocess,ntopensection,ntopenthread,ntprotectvirtualmemory,ntqueueapcthread,ntreadvirtualmemory,ntresumethread,ntsetcontextthread,ntsuspendthread,ntterminateprocess,ntterminatethread,ntunmapviewofsection,ntwritevirtualmemory,rtlcreateuserthread,shellexecuteexw,regclosekey,regcreatekeyexa,regcreatekeyexw,regdeletekeya,regdeletekeyw,regdeletevaluea,regdeletevaluew,regenumkeyexa,regenumkeyexw,regenumkeyw,regenumvaluea,regenumvaluew,regopenkeyexa,regopenkeyexw,regqueryinfokeya,regqueryinfokeyw,regqueryvalueexa,regqueryvalueexw,regsetvalueexa,regsetvalueexw,ntcreatekey,ntdeletekey,ntdeletevaluekey,ntenumeratekey,ntenumeratevaluekey,ntopenkey,ntopenkeyex,ntquerykey,ntqueryvaluekey,ntsetvaluekey,findresourcea,findresourceexa,findresourceexw,findresourcew,loadresource,sizeofresource,controlservice,createservicea,deleteservice,enumservicesstatusa,openscmanagera,openscmanagerw,openservicea,openservicew,startservicea,startservicew,getsystemtimeasfiletime,ntcreatemutant,ntdelayexecution,timegettime,lookupprivilegevaluew,getnativesysteminfo,getsysteminfo,isdebuggerpresent,outputdebugstringa,seterrormode,ldrgetdllhandle,ldrgetprocedureaddress,ldrloaddll,ldrunloaddll,ntclose,ntduplicateobject,rtlcompressbuffer,rtldecompressbuffer,rtldecompressfragment,exitwindowsex,getasynckeystate,getkeystate,getkeyboardstate,sendnotifymessagew,setwindowshookexa,setwindowshookexw,unhookwindowshookex,drawtextexa,drawtextexw,findwindowa,findwindowexa,findwindowexw,findwindoww,getforegroundwindow,loadstringa,loadstringw,messageboxtimeouta,messageboxtimeoutw,couninitialize,ntopenmutant,ntquerysysteminformation,globalmemorystatus,globalmemorystatusex,setfiletime,getfileversioninfosizew,getfileversioninfow,createactctxw,cogetclassobject,cocreateinstanceex,iwbemservices_execquery,setstdhandle,registerhotkey,createjobobjectw,setinformationjobobject,createremotethreadex,iwbemservices_execmethod,wnetgetprovidernamew,target
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,197,13,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trojan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,5,29,1,0,7,0,1,0,0,0,4,0,0,0,0,0,3,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,47,62,20,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trojan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Backdoor
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,26,0,0,0,3,26,0,0,0,5,0,0,0,0,0,0,0,4,0,0,2,0,4,0,32,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,410,16,0,21,0,0,0,0,0,0,3,0,0,0,0,0,44,3,0,0,0,0,20,49,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Backdoor
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,2,99,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trojan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,8,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trojan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,4,2,0,0,2,79,5,0,0,0,17,0,0,6,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1191,1188,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,0,1189,0,2,0,0,0,0,4,7,0,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,420,0,4,0,5,0,0,1,43,432,21,4,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Backdoor
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14,16,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Backdoor
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,0,0,0,0,9,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,10,0,0,0,16,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,34,6,5,0,0,0,0,0,0,0,0,0,5,32,0,5,46,21,12,0,0,0,0,0,0,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,17,317,21,5,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Downloader
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2785,0,621,0,0,2,0,7,0,0,2,0,6,2,3,0,8,0,0,0,1,2,0,0,24,0,11,0,0,0,2,0,94,1,228,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,47,3,0,11,0,5,0,2,0,3,0,0,0,0,0,3,0,8,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,7,47,0,0,2,30,2,0,0,0,0,0,0,14,0,4,10,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,5,5,186,12,7,2860,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Worms
